mode;beta;split_by;seed;test_size;group_stratify;macd_enabled;calibration;n_train;n_test;pos_train;pos_test;llm_max;llm_used;review_requested;review_selected;auto_coverage;auto_tp;auto_fp;auto_fn;auto_tn;auto_precision;auto_recall;auto_f1;auto_fbeta;oracle_tp;oracle_fp;oracle_fn;oracle_tn;oracle_precision;oracle_recall;oracle_f1;oracle_fbeta;exp_tp;exp_fp;exp_fn;exp_tn;exp_precision;exp_recall;exp_f1;exp_fbeta
vigilancia;2.0;comprec;42;0.3;True;True;ml_rf;43361;18335;173;74;2000;105;117;105;0.9942732478865558;62.0;0.0;1.0;18167.0;1.0;0.9841269841269841;0.992;0.9872611464968153;73.0;0.0;1.0;18261.0;1.0;0.9864864864864865;0.9931972789115646;0.989159891598916;72.25;3.9600000000000004;1.75;18257.04;0.9480383151817348;0.9763513513513513;0.9619865521603088;0.970554257005454
vigilancia;2.0;comprec;43;0.3;True;True;ml_rf;43298;18398;173;74;2000;112;119;112;0.9939123817806284;58.0;0.0;1.0;18227.0;1.0;0.9830508474576272;0.9914529914529915;0.9863945578231292;73.0;0.0;1.0;18324.0;1.0;0.9864864864864865;0.9931972789115646;0.989159891598916;71.92;4.6000000000000005;2.08;18319.399999999998;0.9398849973863043;0.971891891891892;0.9556205155461068;0.9653172984000858
vigilancia;2.0;comprec;44;0.3;True;True;ml_rf;43014;18682;173;74;2000;125;130;125;0.993309067551654;48.0;0.0;1.0;18508.0;1.0;0.9795918367346939;0.9896907216494846;0.9836065573770492;73.0;0.0;1.0;18608.0;1.0;0.9864864864864865;0.9931972789115646;0.989159891598916;71.26;4.51;2.7399999999999998;18603.489999999998;0.9404777616470898;0.962972972972973;0.9515924417440075;0.958388250800226
vigilancia;2.0;comprec;45;0.3;True;True;ml_rf;43296;18400;173;74;2000;103;107;103;0.9944021739130435;52.0;0.0;2.0;18243.0;1.0;0.9629629629629629;0.9811320754716981;0.9701492537313433;72.0;0.0;2.0;18326.0;1.0;0.972972972972973;0.9863013698630136;0.9782608695652174;70.52;3.4200000000000004;3.4799999999999995;18322.579999999998;0.9537462807681903;0.9529729729729729;0.953359470055428;0.9531275341947342
vigilancia;2.0;comprec;46;0.3;True;True;ml_rf;43337;18359;173;74;2000;102;108;102;0.9944441418377907;58.0;0.0;3.0;18196.0;1.0;0.9508196721311475;0.9747899159663865;0.9602649006622517;71.0;0.0;3.0;18285.0;1.0;0.9594594594594594;0.9793103448275862;0.9673024523160763;69.83000000000001;3.58;4.17;18281.42;0.9512328020705626;0.9436486486486486;0.947425547791873;0.9451557889607753
confirmacao;0.5;comprec;42;0.3;True;True;ml_rf;43361;18335;173;74;1000;107;118;107;0.9941641668939187;39.0;0.0;2.0;18187.0;1.0;0.9512195121951219;0.975;0.9898477157360406;72.0;0.0;2.0;18261.0;1.0;0.972972972972973;0.9863013698630136;0.994475138121547;70.42;2.92;3.579999999999999;18258.079999999998;0.960185437687483;0.9516216216216217;0.955884349124474;0.9584603658536586
confirmacao;0.5;comprec;43;0.3;True;True;ml_rf;43298;18398;173;74;1000;110;117;110;0.9940210892488314;39.0;0.0;1.0;18248.0;1.0;0.975;0.9873417721518988;0.9948979591836735;73.0;0.0;1.0;18324.0;1.0;0.9864864864864865;0.9931972789115646;0.9972677595628415;70.95;3.3200000000000003;3.05;18320.679999999997;0.9552982361653426;0.9587837837837838;0.9570378363795777;0.9559933168050015
confirmacao;0.5;comprec;44;0.3;True;True;ml_rf;43014;18682;173;74;1000;126;128;126;0.9932555400920672;31.0;0.0;1.0;18524.0;1.0;0.96875;0.9841269841269841;0.9935897435897436;73.0;0.0;1.0;18608.0;1.0;0.9864864864864865;0.9931972789115646;0.9972677595628415;70.47;3.55;3.53;18604.45;0.9520399891921103;0.9522972972972973;0.95216862586137;0.952091439688716
confirmacao;0.5;comprec;45;0.3;True;True;ml_rf;43296;18400;173;74;1000;113;114;113;0.9938586956521739;24.0;0.0;4.0;18259.0;1.0;0.8571428571428571;0.9230769230769231;0.967741935483871;70.0;0.0;4.0;18326.0;1.0;0.9459459459459459;0.9722222222222222;0.9887005649717514;67.28999999999999;2.68;6.709999999999999;18323.32;0.9616978705159352;0.9093243243243244;0.9347780787664096;0.9507460155985079
confirmacao;0.5;comprec;46;0.3;True;True;ml_rf;43337;18359;173;74;1000;114;117;114;0.9937905114657661;36.0;0.0;4.0;18205.0;1.0;0.9;0.9473684210526315;0.9782608695652174;70.0;0.0;4.0;18285.0;1.0;0.9459459459459459;0.9722222222222222;0.9887005649717514;67.94;3.22;6.0600000000000005;18281.78;0.9547498594716133;0.9181081081081081;0.9360705428492697;0.9471893821101941
