feature,importance
NOME qtd frag iguais,0.16993675600770417
NOME qtd frag muito parec,0.12938358402769856
nota final,0.12913450145749297
nome_perfeito,0.12133664059604618
nome_score_total,0.08873727549375249
dtnasc_score_total,0.07097982582470422
nome_x_dtnasc,0.06365780993366721
NOME qtd frag comuns,0.04338404735442408
NOMEMAE qtd frag comuns,0.028876795632855088
NOMEMAE qtd frag muito parec,0.021234544160338473
NOMEMAE qtd frag iguais,0.02055541137663158
dtnasc_perfeito,0.01750818977997165
mae_score_total,0.014391196564867403
NOME qtd frag raros,0.013297607673091499
DTNASC dt iguais,0.013257311617317344
nome_x_mae,0.012702750214368126
nome_x_endereco,0.011263815747009598
endereco_score_total,0.007732850948800741
ENDERECO via prox,0.004015641540720301
NOMEMAE prim frag igual,0.003181909162377642
ENDERECO texto prox,0.00219611670081107
ENDERECO tokens jacc,0.0020500274916558556
mae_presente,0.001935254592134747
NOMEMAE ult frag igual,0.0018670452438144098
DTNASC dt ap 1digi,0.0017367282283655596
NOME ult frag igual,0.0015264899149227595
CODMUNRES local igual,0.0011341803581109385
NOME prim frag igual,0.0010532225415826834
ENDERECO compl prox,0.0006810532072994856
ENDERECO via igual,0.000678728720799537
CODMUNRES local prox,0.0002516480946677104
NOMEMAE qtd frag raros,0.00017202160699874967
endereco_match,0.0001458052519724592
ENDERECO numero igual,3.212933024492505e-06
CODMUNRES uf igual,1.2526062501678134e-16
obito_sinan,0.0
