ml_model,ml_threshold,rules_threshold,precision,recall,f1,tp,fp,fn,tn
RF+SMOTE,0.1,0.0,0.6491228070175439,1.0,0.7872340425531915,74,40,0,18395
RF+SMOTE,0.1,0.5,0.6491228070175439,1.0,0.7872340425531915,74,40,0,18395
RF+SMOTE,0.1,1.0,0.6491228070175439,1.0,0.7872340425531915,74,40,0,18395
RF+SMOTE,0.1,1.5,0.6491228070175439,1.0,0.7872340425531915,74,40,0,18395
RF+SMOTE,0.1,2.0,0.6548672566371682,1.0,0.7914438502673797,74,39,0,18396
RF+SMOTE,0.1,2.5,0.6576576576576577,0.9864864864864865,0.7891891891891892,73,38,1,18397
RF+SMOTE,0.1,3.0,0.6636363636363637,0.9864864864864865,0.7934782608695652,73,37,1,18398
RF+SMOTE,0.1,3.5,0.7058823529411765,0.972972972972973,0.8181818181818182,72,30,2,18405
RF+SMOTE,0.1,4.0,0.7272727272727273,0.972972972972973,0.8323699421965318,72,27,2,18408
RF+SMOTE,0.1,4.5,0.7422680412371134,0.972972972972973,0.8421052631578947,72,25,2,18410
RF+SMOTE,0.1,5.0,0.8666666666666667,0.8783783783783784,0.87248322147651,65,10,9,18425
RF+SMOTE,0.1,5.5,0.8666666666666667,0.8783783783783784,0.87248322147651,65,10,9,18425
RF+SMOTE,0.1,6.0,0.8767123287671232,0.8648648648648649,0.8707482993197279,64,9,10,18426
RF+SMOTE,0.1,6.5,0.8939393939393939,0.7972972972972973,0.8428571428571429,59,7,15,18428
RF+SMOTE,0.1,7.0,0.8870967741935484,0.7432432432432432,0.8088235294117647,55,7,19,18428
RF+SMOTE,0.1,7.5,0.8852459016393442,0.7297297297297297,0.8,54,7,20,18428
RF+SMOTE,0.1,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.1,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.1,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.1,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.1,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.1,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
RF+SMOTE,0.1,11.0,1.0,0.04054054054054054,0.07792207792207792,3,0,71,18435
RF+SMOTE,0.15,0.0,0.7525773195876289,0.9864864864864865,0.8538011695906432,73,24,1,18411
RF+SMOTE,0.15,0.5,0.7525773195876289,0.9864864864864865,0.8538011695906432,73,24,1,18411
RF+SMOTE,0.15,1.0,0.7525773195876289,0.9864864864864865,0.8538011695906432,73,24,1,18411
RF+SMOTE,0.15,1.5,0.7525773195876289,0.9864864864864865,0.8538011695906432,73,24,1,18411
RF+SMOTE,0.15,2.0,0.7604166666666666,0.9864864864864865,0.8588235294117647,73,23,1,18412
RF+SMOTE,0.15,2.5,0.7578947368421053,0.972972972972973,0.8520710059171598,72,23,2,18412
RF+SMOTE,0.15,3.0,0.7578947368421053,0.972972972972973,0.8520710059171598,72,23,2,18412
RF+SMOTE,0.15,3.5,0.7888888888888889,0.9594594594594594,0.8658536585365854,71,19,3,18416
RF+SMOTE,0.15,4.0,0.7888888888888889,0.9594594594594594,0.8658536585365854,71,19,3,18416
RF+SMOTE,0.15,4.5,0.8068181818181818,0.9594594594594594,0.8765432098765432,71,17,3,18418
RF+SMOTE,0.15,5.0,0.9027777777777778,0.8783783783783784,0.8904109589041096,65,7,9,18428
RF+SMOTE,0.15,5.5,0.9027777777777778,0.8783783783783784,0.8904109589041096,65,7,9,18428
RF+SMOTE,0.15,6.0,0.9142857142857143,0.8648648648648649,0.8888888888888888,64,6,10,18429
RF+SMOTE,0.15,6.5,0.9365079365079365,0.7972972972972973,0.8613138686131386,59,4,15,18431
RF+SMOTE,0.15,7.0,0.9322033898305084,0.7432432432432432,0.8270676691729323,55,4,19,18431
RF+SMOTE,0.15,7.5,0.9310344827586207,0.7297297297297297,0.8181818181818182,54,4,20,18431
RF+SMOTE,0.15,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.15,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.15,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.15,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.15,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.15,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
RF+SMOTE,0.15,11.0,1.0,0.04054054054054054,0.07792207792207792,3,0,71,18435
RF+SMOTE,0.2,0.0,0.7604166666666666,0.9864864864864865,0.8588235294117647,73,23,1,18412
RF+SMOTE,0.2,0.5,0.7604166666666666,0.9864864864864865,0.8588235294117647,73,23,1,18412
RF+SMOTE,0.2,1.0,0.7604166666666666,0.9864864864864865,0.8588235294117647,73,23,1,18412
RF+SMOTE,0.2,1.5,0.7604166666666666,0.9864864864864865,0.8588235294117647,73,23,1,18412
RF+SMOTE,0.2,2.0,0.7684210526315789,0.9864864864864865,0.863905325443787,73,22,1,18413
RF+SMOTE,0.2,2.5,0.7659574468085106,0.972972972972973,0.8571428571428571,72,22,2,18413
RF+SMOTE,0.2,3.0,0.7659574468085106,0.972972972972973,0.8571428571428571,72,22,2,18413
RF+SMOTE,0.2,3.5,0.797752808988764,0.9594594594594594,0.8711656441717791,71,18,3,18417
RF+SMOTE,0.2,4.0,0.797752808988764,0.9594594594594594,0.8711656441717791,71,18,3,18417
RF+SMOTE,0.2,4.5,0.8068181818181818,0.9594594594594594,0.8765432098765432,71,17,3,18418
RF+SMOTE,0.2,5.0,0.9027777777777778,0.8783783783783784,0.8904109589041096,65,7,9,18428
RF+SMOTE,0.2,5.5,0.9027777777777778,0.8783783783783784,0.8904109589041096,65,7,9,18428
RF+SMOTE,0.2,6.0,0.9142857142857143,0.8648648648648649,0.8888888888888888,64,6,10,18429
RF+SMOTE,0.2,6.5,0.9365079365079365,0.7972972972972973,0.8613138686131386,59,4,15,18431
RF+SMOTE,0.2,7.0,0.9322033898305084,0.7432432432432432,0.8270676691729323,55,4,19,18431
RF+SMOTE,0.2,7.5,0.9310344827586207,0.7297297297297297,0.8181818181818182,54,4,20,18431
