faixa;n;pares;pct_pares;modelo;tp;fp;fn;tn;precision;recall;f1
0-3;1607;0;0.0;RF+SMOTE;0;0;0;1607;0.0;0.0;0.0
0-3;1607;0;0.0;GradientBoosting;0;0;0;1607;0.0;0.0;0.0
3-5;10316;0;0.0;RF+SMOTE;0;1;0;10315;0.0;0.0;0.0
3-5;10316;0;0.0;GradientBoosting;0;0;0;10316;0.0;0.0;0.0
5-6;4336;3;0.06918819188191881;RF+SMOTE;3;19;0;4314;0.13636363636363635;1.0;0.24
5-6;4336;3;0.06918819188191881;GradientBoosting;3;1;0;4332;0.75;1.0;0.8571428571428571
6-7;1846;13;0.7042253521126761;RF+SMOTE;11;0;2;1833;1.0;0.8461538461538461;0.9166666666666666
6-7;1846;13;0.7042253521126761;GradientBoosting;12;1;1;1832;0.9230769230769231;0.9230769230769231;0.9230769230769231
7-8;337;15;4.451038575667656;RF+SMOTE;15;1;0;321;0.9375;1.0;0.967741935483871
7-8;337;15;4.451038575667656;GradientBoosting;13;3;2;319;0.8125;0.8666666666666667;0.8387096774193549
8-9;36;12;33.33333333333333;RF+SMOTE;10;2;2;22;0.8333333333333334;0.8333333333333334;0.8333333333333334
8-9;36;12;33.33333333333333;GradientBoosting;6;1;6;23;0.8571428571428571;0.5;0.631578947368421
9-10;15;15;100.0;RF+SMOTE;15;0;0;0;1.0;1.0;1.0
9-10;15;15;100.0;GradientBoosting;11;0;4;0;1.0;0.7333333333333333;0.846153846153846
10+;16;16;100.0;RF+SMOTE;16;0;0;0;1.0;1.0;1.0
10+;16;16;100.0;GradientBoosting;14;0;2;0;1.0;0.875;0.9333333333333333
