feature,shap_mean_abs
score_recall,0.04457667693620592
NOME qtd frag iguais,0.04186882841481531
nome_squared,0.04046267421408008
nota final,0.03726512313322331
nota_squared,0.03478581577066581
nome_bom,0.031843774998014863
NOME qtd frag muito parec,0.02846847503519448
NOME qtd frag comuns,0.02581297543009264
dtnasc_x_local,0.02133721252482059
dtnasc_total,0.01840695577747602
dtnasc_ok,0.017087284247970513
ratio_nome_nota,0.016790572019944598
min_score_nome,0.014999426089661769
nome_x_local,0.0149361948570886
nome_total,0.01406359081233016
NOMEMAE qtd frag comuns,0.013863347609046285
max_score_dtnasc,0.012910032175928019
nome_x_dtnasc,0.011303337528865752
diff_ano_ok,0.008624580549838962
diff_ano_nasc,0.007041743902780697
evidencias_positivas,0.006873623666545009
nome_x_mae,0.0067835514173044025
NOMEMAE qtd frag iguais,0.006743515224668971
DTNASC dt iguais,0.006246683104694922
NOMEMAE qtd frag muito parec,0.006079786247685362
ratio_nome_mae,0.005926348408444776
dtnasc_squared,0.0036205110734917174
NOME qtd frag raros,0.0034981272382016296
NOMEMAE prim frag igual,0.003141687017148081
mae_total,0.003123024600382109
obito_sinan,0.0025754189247487735
NOMEMAE ult frag igual,0.0022731887061950983
NOME prim frag igual,0.0019608657879885976
endereco_total,0.0019000672103159817
ENDERECO via prox,0.001801286624007483
ENDERECO tokens jacc,0.0015701907466905288
nome_x_endereco,0.0015617732015825842
obito_tb,0.0015353938148937537
ENDERECO texto prox,0.0014564535002310132
mae_presente,0.0007439490110143688
NOME ult frag igual,0.0007330514708902614
dtnasc_parcial,0.00038730960675342475
nome_prim_ok,0.0003794546963958201
DTNASC dt inv mes,0.00035837814195694947
local_total,0.00035829283399643736
local_ok,0.00035104736381014835
DTNASC dt ap 1digi,0.00032616237356540947
ENDERECO compl prox,0.0002646295870371172
CODMUNRES local igual,0.0002587607600285342
ENDERECO via igual,0.00021315914205113004
CODMUNRES local prox,0.00011541469111489027
NOMEMAE qtd frag raros,6.671233036885313e-05
DTNASC dt inv dia,8.981028191360432e-06
NOMEMAE qtd frag abrev,5.7612184786522e-06
ENDERECO numero igual,3.4298191622258833e-07
NOME qtd frag abrev,3.0339038314399214e-07
CODMUNRES uf igual,0.0
DTNASC dt inv ano,0.0
