mode;beta;split_by;seed;test_size;group_stratify;macd_enabled;guardrails_enabled;calibration;n_train;n_test;pos_train;pos_test;llm_max;llm_used;review_requested;review_selected;auto_coverage;auto_tp;auto_fp;auto_fn;auto_tn;auto_precision;auto_recall;auto_f1;auto_fbeta;oracle_tp;oracle_fp;oracle_fn;oracle_tn;oracle_precision;oracle_recall;oracle_f1;oracle_fbeta;exp_tp;exp_fp;exp_fn;exp_tn;exp_precision;exp_recall;exp_f1;exp_fbeta;ablation;platt_intercept;platt_slope
vigilancia;2.0;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;2000;105;117;105;0.9942732478865558;62.0;0.0;1.0;18167.0;1.0;0.9841269841269841;0.992;0.9872611464968153;73.0;0.0;1.0;18261.0;1.0;0.9864864864864865;0.9931972789115646;0.989159891598916;72.25;3.9600000000000004;1.75;18257.04;0.9480383151817348;0.9763513513513513;0.9619865521603088;0.970554257005454;cal=ml_rf;;
vigilancia;2.0;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;2000;112;119;112;0.9939021070397996;54.0;0.0;3.0;18198.0;1.0;0.9473684210526315;0.972972972972973;0.9574468085106383;71.0;0.0;3.0;18293.0;1.0;0.9594594594594594;0.9793103448275862;0.9673024523160763;69.77;4.04;4.23;18288.96;0.945264869258908;0.9428378378378378;0.9440497936540154;0.9433222465590437;cal=ml_rf;;
vigilancia;2.0;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;2000;160;180;160;0.9914516215205428;61.0;0.0;0.0;18496.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;73.17;6.7;0.83;18636.3;0.9161136847376987;0.9887837837837838;0.9510625852992786;0.9733418469151569;cal=ml_rf;;
vigilancia;2.0;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;2000;126;137;126;0.9930765426671795;61.0;0.0;0.0;18012.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18125.0;1.0;1.0;1.0;1.0;72.98;5.05;1.02;18119.95;0.9352813020633091;0.9862162162162162;0.9600736696704596;0.9755901933000027;cal=ml_rf;;
vigilancia;2.0;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;2000;115;129;115;0.9937723383515651;53.0;0.0;3.0;18295.0;1.0;0.9464285714285714;0.9724770642201835;0.9566787003610109;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9673024523160763;69.57000000000001;4.04;4.430000000000001;18387.96;0.9451161526966444;0.940135135135135;0.9426190637490685;0.9411271340061145;cal=ml_rf;;
confirmacao;0.5;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;1000;107;118;107;0.9941641668939187;39.0;0.0;2.0;18187.0;1.0;0.9512195121951219;0.975;0.9898477157360406;72.0;0.0;2.0;18261.0;1.0;0.972972972972973;0.9863013698630136;0.994475138121547;70.42;2.92;3.579999999999999;18258.079999999998;0.960185437687483;0.9516216216216217;0.955884349124474;0.9584603658536586;cal=ml_rf;;
confirmacao;0.5;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;1000;113;119;113;0.9938476615669407;34.0;0.0;4.0;18216.0;1.0;0.8947368421052632;0.9444444444444444;0.9770114942528736;70.0;0.0;4.0;18293.0;1.0;0.9459459459459459;0.9722222222222222;0.9887005649717514;68.07;3.1999999999999997;5.9300000000000015;18289.800000000003;0.9551003227164304;0.9198648648648647;0.9371515109795553;0.9478389216887602;cal=ml_rf;;
confirmacao;0.5;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;1000;157;171;157;0.9916119036170327;41.0;0.0;0.0;18519.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;72.39;5.54;1.6099999999999999;18637.46;0.9289105607596561;0.9782432432432433;0.9529388534193378;0.938374987037229;cal=ml_rf;;
confirmacao;0.5;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;1000;125;133;125;0.9931314907412495;43.0;0.0;2.0;18029.0;1.0;0.9555555555555556;0.9772727272727273;0.9907834101382489;72.0;0.0;2.0;18125.0;1.0;0.972972972972973;0.9863013698630136;0.994475138121547;70.27;4.13;3.7300000000000004;18120.87;0.944489247311828;0.9495945945945945;0.947035040431267;0.9455059203444564;cal=ml_rf;;
confirmacao;0.5;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;1000;129;135;129;0.9930141882378425;27.0;0.0;3.0;18307.0;1.0;0.9;0.9473684210526315;0.9782608695652174;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9916201117318436;68.50999999999999;3.4600000000000004;5.49;18388.54;0.9519244129498403;0.9258108108108108;0.9386860313763101;0.9465845031502156;cal=ml_rf;;
