pair_id,decision,confidence,protocol,reason_codes,total_latency_s
95dd7c62da674015,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,6.83
c49dcff64607b48f,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,7.31
728b379bcf7d315f,MATCH,0.95,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,8.16
1212ee47e7a046f7,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,8.91
e02833fc18ec0d61,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,9.06
f8a0e9ad98fbb06b,MATCH,0.95,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,9.59
fcd2d550b1045206,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,9.75
9552589dccf390f6,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,9.97
bc2bc8531ec60c52,MATCH,0.95,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,12.27
c1015f6c269d75ec,MATCH,0.85,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,12.45
8d51827f140a7d0b,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MODEL_HIGH_P;MOTHER_MISSING;MUNICIPALITY_STRONG,13.02
