mode;beta;split_by;seed;test_size;group_stratify;macd_enabled;guardrails_enabled;calibration;n_train;n_test;pos_train;pos_test;llm_max;llm_used;review_requested;review_selected;auto_coverage;auto_tp;auto_fp;auto_fn;auto_tn;auto_precision;auto_recall;auto_f1;auto_fbeta;oracle_tp;oracle_fp;oracle_fn;oracle_tn;oracle_precision;oracle_recall;oracle_f1;oracle_fbeta;exp_tp;exp_fp;exp_fn;exp_tn;exp_precision;exp_recall;exp_f1;exp_fbeta;experiment
vigilancia;2.0;comprec;7312;0.2;True;True;True;ml_rf;49396;12300;198;49;2000;90;97;90;0.9926829268292683;41.0;0.0;0.0;12169.0;1.0;1.0;1.0;1.0;49.0;0.0;0.0;12251.0;1.0;1.0;1.0;1.0;48.53000000000001;3.8699999999999997;0.47000000000000003;12247.130000000001;0.926145038167939;0.9904081632653061;0.9571992110453649;0.9768518518518519;kfold
vigilancia;2.0;comprec;983;0.2;True;True;True;ml_rf;49187;12509;198;49;2000;80;83;80;0.9936046046846271;33.0;0.0;2.0;12394.0;1.0;0.9428571428571428;0.9705882352941176;0.953757225433526;47.0;0.0;2.0;12460.0;1.0;0.9591836734693877;0.9791666666666666;0.9670781893004116;46.03;2.72;2.97;12457.28;0.9442051282051283;0.9393877551020409;0.9417902813299233;0.940347293156282;kfold
vigilancia;2.0;comprec;5846;0.2;True;True;True;ml_rf;49233;12463;198;49;2000;78;82;78;0.9937414747653053;36.0;0.0;1.0;12348.0;1.0;0.972972972972973;0.9863013698630136;0.9782608695652174;48.0;0.0;1.0;12414.0;1.0;0.9795918367346939;0.9896907216494846;0.9836065573770492;47.04;2.7800000000000002;1.96;12411.220000000001;0.944199116820554;0.96;0.9520340012143291;0.9567976568220649;kfold
vigilancia;2.0;comprec;5980;0.2;True;True;True;ml_rf;49583;12113;198;49;2000;98;102;98;0.9919095186989185;40.0;0.0;2.0;11973.0;1.0;0.9523809523809523;0.975609756097561;0.9615384615384616;47.0;0.0;2.0;12064.0;1.0;0.9591836734693877;0.9791666666666666;0.9670781893004116;46.4;4.06;2.6000000000000005;12059.94;0.9195402298850575;0.946938775510204;0.9330384073999598;0.9413292217804106;kfold
vigilancia;2.0;comprec;7758;0.2;True;True;True;ml_rf;49439;12257;198;49;2000;77;79;77;0.9937178754997145;34.0;0.0;1.0;12145.0;1.0;0.9714285714285714;0.9855072463768116;0.9770114942528736;48.0;0.0;1.0;12208.0;1.0;0.9795918367346939;0.9896907216494846;0.9836065573770492;47.08000000000001;2.66;1.9200000000000002;12205.34;0.9465219139525534;0.9608163265306122;0.9536155560056715;0.9579230080572964;kfold
vigilancia;2.0;comprec;6307;0.2;True;True;True;ml_rf;49345;12351;198;49;2000;97;106;97;0.9921463849081046;40.0;0.0;2.0;12212.0;1.0;0.9523809523809523;0.975609756097561;0.9615384615384616;47.0;0.0;2.0;12302.0;1.0;0.9591836734693877;0.9791666666666666;0.9670781893004116;46.37;4.0;2.63;12298.0;0.9205876513797896;0.9463265306122448;0.9332796618697796;0.9410642529528758;kfold
vigilancia;2.0;comprec;589;0.2;True;True;True;ml_rf;48883;12813;198;49;2000;77;83;77;0.9939904784203544;35.0;0.0;2.0;12699.0;1.0;0.9459459459459459;0.9722222222222222;0.9562841530054644;47.0;0.0;2.0;12764.0;1.0;0.9591836734693877;0.9791666666666666;0.9670781893004116;45.980000000000004;2.7699999999999996;3.02;12761.230000000001;0.9431794871794873;0.9383673469387754;0.94076726342711;0.9393258426966291;kfold
vigilancia;2.0;comprec;4882;0.2;True;True;True;ml_rf;49698;11998;198;49;2000;83;86;83;0.9930821803633939;41.0;0.0;1.0;11873.0;1.0;0.9761904761904762;0.9879518072289156;0.9808612440191388;48.0;0.0;1.0;11949.0;1.0;0.9795918367346939;0.9896907216494846;0.9836065573770492;47.459999999999994;3.22;1.5400000000000003;11945.78;0.93646408839779;0.9685714285714286;0.9522471910112359;0.9619750283768445;kfold
vigilancia;2.0;comprec;6367;0.2;True;True;True;ml_rf;49696;12000;198;49;2000;92;96;92;0.9923333333333333;42.0;0.0;0.0;11866.0;1.0;1.0;1.0;1.0;49.0;0.0;0.0;11951.0;1.0;1.0;1.0;1.0;48.4;3.74;0.6000000000000001;11947.26;0.9282700421940928;0.9877551020408163;0.957089183310263;0.9752559039252034;kfold
vigilancia;2.0;comprec;10346;0.2;True;True;True;ml_rf;49271;12425;198;49;2000;81;84;81;0.9934808853118712;38.0;0.0;3.0;12303.0;1.0;0.926829268292683;0.9620253164556962;0.9405940594059405;46.0;0.0;3.0;12376.0;1.0;0.9387755102040817;0.968421052631579;0.9504132231404959;45.19;3.24;3.81;12372.76;0.933099318604171;0.9222448979591836;0.9276403571795135;0.9243955324632819;kfold
vigilancia;2.0;comprec;1727;0.2;True;True;True;ml_rf;49473;12223;198;49;2000;79;81;79;0.9935367749325043;37.0;0.0;1.0;12106.0;1.0;0.9736842105263158;0.9866666666666667;0.9788359788359788;48.0;0.0;1.0;12174.0;1.0;0.9795918367346939;0.9896907216494846;0.9836065573770492;47.089999999999996;2.9400000000000004;1.91;12171.06;0.9412352588446932;0.9610204081632654;0.9510249419367869;0.9569971141730684;kfold
vigilancia;2.0;comprec;892;0.2;True;True;True;ml_rf;49034;12662;198;49;2000;100;110;100;0.9921023534986574;40.0;0.0;1.0;12521.0;1.0;0.975609756097561;0.9876543209876543;0.9803921568627451;48.0;0.0;1.0;12613.0;1.0;0.9795918367346939;0.9896907216494846;0.9836065573770492;47.45;4.26;1.5500000000000003;12608.74;0.9176174821117773;0.9683673469387756;0.942309601827028;0.9577732025352227;kfold
vigilancia;2.0;comprec;7405;0.2;True;True;True;ml_rf;49547;12149;198;49;2000;88;98;88;0.9927566054819327;39.0;0.0;1.0;12021.0;1.0;0.975;0.9873417721518988;0.9798994974874372;48.0;0.0;1.0;12100.0;1.0;0.9795918367346939;0.9896907216494846;0.9836065573770492;47.230000000000004;3.4400000000000004;1.77;12096.56;0.9321097296230512;0.9638775510204081;0.9477275007524832;0.957351927676653;kfold
vigilancia;2.0;comprec;3222;0.2;True;True;True;ml_rf;49212;12484;198;49;2000;83;93;83;0.9933514899070811;39.0;0.0;0.0;12362.0;1.0;1.0;1.0;1.0;49.0;0.0;0.0;12435.0;1.0;1.0;1.0;1.0;48.34;3.2800000000000002;0.66;12431.720000000001;0.936458736923673;0.986530612244898;0.9608427747962632;0.9760923996446168;kfold
