mode;sweep;mean_exp_recall;mean_exp_precision;mean_exp_f1;mean_llm_used;mean_review_requested;fp_fn_ratio;llm_budget
vigilancia;cost_ratio;0.9693513513513514;0.9336562599325744;0.9509643121355623;130.6;145.0;0.1;
vigilancia;cost_ratio;0.9668648648648649;0.937962864787659;0.9519583329066261;123.6;136.4;0.2;
vigilancia;cost_ratio;0.9632972972972972;0.9426684496673964;0.9525856161202274;119.2;130.0;0.5;
vigilancia;cost_ratio;0.9528108108108109;0.945670288294451;0.949002826044597;118.2;127.4;1.0;
vigilancia;cost_ratio;0.9496756756756758;0.950114111171289;0.9496824368563151;117.0;124.6;2.0;
vigilancia;cost_ratio;0.9408378378378378;0.9521636275608156;0.9462169214465946;123.4;130.2;5.0;
vigilancia;cost_ratio;0.9308108108108109;0.9518854960203367;0.941009759527655;134.4;141.6;10.0;
vigilancia;llm_budget;0.9648648648648648;0.7442501743987153;0.8366114906434211;0.0;136.4;;0.0
vigilancia;llm_budget;0.9637837837837837;0.7560666700193834;0.8443104063202446;50.0;136.4;;50.0
vigilancia;llm_budget;0.9587297297297297;0.9125907743175491;0.9323236452418188;100.0;136.4;;100.0
vigilancia;llm_budget;0.9668648648648649;0.937962864787659;0.9519583329066261;123.6;136.4;;200.0
vigilancia;llm_budget;0.9668648648648649;0.937962864787659;0.9519583329066261;123.6;136.4;;500.0
vigilancia;llm_budget;0.9668648648648649;0.937962864787659;0.9519583329066261;123.6;136.4;;1000.0
vigilancia;llm_budget;0.9668648648648649;0.937962864787659;0.9519583329066261;123.6;136.4;;2000.0
vigilancia;llm_budget;0.9668648648648649;0.937962864787659;0.9519583329066261;123.6;136.4;;5000.0
confirmacao;cost_ratio;0.9626756756756756;0.9383198121054519;0.9500929165333665;128.2;141.0;0.1;
confirmacao;cost_ratio;0.9626756756756756;0.9403744873024316;0.9511558764381304;125.4;137.8;0.2;
confirmacao;cost_ratio;0.9578108108108108;0.9435717469772482;0.9503534305908831;120.0;129.8;0.5;
confirmacao;cost_ratio;0.9526216216216217;0.946001965145196;0.9490782988779355;116.4;125.4;1.0;
confirmacao;cost_ratio;0.9504054054054054;0.9480970038103091;0.9490226892442181;117.4;126.0;2.0;
confirmacao;cost_ratio;0.945027027027027;0.9481219962850476;0.9463391570661888;126.2;135.2;5.0;
confirmacao;cost_ratio;0.9348378378378378;0.947588550601792;0.9409563471804427;139.2;148.8;10.0;
confirmacao;llm_budget;0.8162162162162163;1.0;0.8979828185454786;0.0;135.2;;0.0
confirmacao;llm_budget;0.8307837837837837;0.9704522276795139;0.8941205165052779;50.0;135.2;;50.0
confirmacao;llm_budget;0.9418918918918919;0.9574455416301134;0.9494973891524763;100.0;135.2;;100.0
confirmacao;llm_budget;0.945027027027027;0.9481219962850476;0.9463391570661888;126.2;135.2;;200.0
confirmacao;llm_budget;0.945027027027027;0.9481219962850476;0.9463391570661888;126.2;135.2;;500.0
confirmacao;llm_budget;0.945027027027027;0.9481219962850476;0.9463391570661888;126.2;135.2;;1000.0
confirmacao;llm_budget;0.945027027027027;0.9481219962850476;0.9463391570661888;126.2;135.2;;2000.0
confirmacao;llm_budget;0.945027027027027;0.9481219962850476;0.9463391570661888;126.2;135.2;;5000.0
