mode;beta;split_by;seed;test_size;group_stratify;macd_enabled;guardrails_enabled;calibration;n_train;n_test;pos_train;pos_test;llm_max;llm_used;review_requested;review_selected;auto_coverage;auto_tp;auto_fp;auto_fn;auto_tn;auto_precision;auto_recall;auto_f1;auto_fbeta;oracle_tp;oracle_fp;oracle_fn;oracle_tn;oracle_precision;oracle_recall;oracle_f1;oracle_fbeta;exp_tp;exp_fp;exp_fn;exp_tn;exp_precision;exp_recall;exp_f1;exp_fbeta;fp_fn_ratio;sweep;llm_budget
vigilancia;2.0;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;2000;112;126;112;0.9938914644123261;62.0;0.0;1.0;18160.0;1.0;0.9841269841269841;0.992;0.9872611464968153;73.0;0.0;1.0;18261.0;1.0;0.9864864864864865;0.9931972789115646;0.989159891598916;72.25;4.319999999999999;1.75;18256.68;0.9435810369596449;0.9763513513513513;0.9596865245400811;0.9696164479158279;0.1;cost_ratio;
vigilancia;2.0;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;2000;120;128;120;0.9934665432569282;54.0;0.0;2.0;18191.0;1.0;0.9642857142857143;0.9818181818181818;0.9712230215827338;72.0;0.0;2.0;18293.0;1.0;0.972972972972973;0.9863013698630136;0.9782608695652174;70.69000000000001;4.419999999999999;3.3100000000000005;18288.579999999998;0.9411529756357342;0.9552702702702702;0.9481590771913353;0.95241303117674;0.1;cost_ratio;
vigilancia;2.0;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;2000;167;190;167;0.9910776299620666;61.0;0.0;0.0;18489.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;73.17;7.04;0.83;18635.960000000003;0.912230395212567;0.9887837837837838;0.9489656961286557;0.9724621886712208;0.1;cost_ratio;
vigilancia;2.0;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;2000;134;145;134;0.9926369580746195;61.0;0.0;0.0;18004.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18125.0;1.0;1.0;1.0;1.0;72.98;5.49;1.02;18119.510000000002;0.9300369567987766;0.9862162162162162;0.9573030760149537;0.9744438806847011;0.1;cost_ratio;
vigilancia;2.0;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;2000;120;136;120;0.993501570453807;53.0;0.0;3.0;18290.0;1.0;0.9464285714285714;0.9724770642201835;0.9566787003610109;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9673024523160763;69.57000000000001;4.34;4.430000000000001;18387.66;0.9412799350561494;0.940135135135135;0.9407071868027854;0.9403638722932606;0.1;cost_ratio;
confirmacao;0.5;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;1000;108;120;108;0.9941096263976003;59.0;0.0;1.0;18167.0;1.0;0.9833333333333333;0.9915966386554622;0.9966216216216216;73.0;0.0;1.0;18261.0;1.0;0.9864864864864865;0.9931972789115646;0.9972677595628415;72.02000000000001;3.9600000000000004;1.9799999999999998;18257.04;0.9478810213214005;0.9732432432432432;0.9603947192959061;0.9528471634208299;0.1;cost_ratio;
confirmacao;0.5;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;1000;115;122;115;0.9937387706212228;48.0;0.0;3.0;18201.0;1.0;0.9411764705882353;0.9696969696969697;0.9876543209876543;71.0;0.0;3.0;18293.0;1.0;0.9594594594594594;0.9793103448275862;0.9916201117318436;69.49;3.9800000000000004;4.51;18289.02;0.945828229209201;0.939054054054054;0.9424289686037839;0.9444655866043274;0.1;cost_ratio;
confirmacao;0.5;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;1000;166;187;166;0.9911310573275631;55.0;0.0;0.0;18496.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;72.88000000000001;6.7;1.12;18636.3;0.9158079919577783;0.9848648648648648;0.9490819117072536;0.9288336052202284;0.1;cost_ratio;
confirmacao;0.5;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;1000;131;141;131;0.9928018022968295;55.0;0.0;0.0;18013.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18125.0;1.0;1.0;1.0;1.0;72.65;4.99;1.35;18120.01;0.935729005667182;0.9817567567567569;0.9581904510683197;0.9445860203869357;0.1;cost_ratio;
confirmacao;0.5;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;1000;121;135;121;0.9934474168742554;44.0;0.0;3.0;18298.0;1.0;0.9361702127659575;0.967032967032967;0.9865470852017937;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9916201117318436;69.15;3.92;4.85;18388.079999999998;0.9463528123716983;0.9344594594594595;0.9403685319915688;0.9439499836190891;0.1;cost_ratio;
